"probe_id","mgi_symbol","GSM5429739","GSM5429740","GSM5429741","GSM5429742","GSM5429743","GSM5429744","GSM5429745","GSM5429746","GSM5429747","GSM5429748","GSM5429749","GSM5429750","GSM5429751"
"10602795","Eif1ax",9.474976,9.429413,9.443925,9.376045,9.352147,9.149083,9.319924,9.262282,9.120781,9.981627,9.371099,9.217743,9.73714
"10590298","Eif1b",9.854187,10.06327,9.766593,10.13289,9.932591,9.971195,10.0151,10.05696,9.977949,9.843744,10.1586,10.11198,9.765126
"10492205","Eif2a",8.843567,9.217762,9.075992,9.139005,8.758904,9.024017,9.141791,9.303395,9.602568,9.154146,9.455807,9.292579,9.298701
"10527252","Eif2ak1",8.913177,8.955189,8.817183,9.047714,8.979514,9.107896,8.884888,9.293698,8.722107,8.827976,8.760445,9.055284,8.621858
"10452980","Eif2ak2",7.327393,7.489456,7.475873,7.582612,7.289691,7.430649,7.575926,7.835039,7.339449,7.339674,7.431544,7.793377,6.949943
"10538939","Eif2ak3",8.063638,8.037993,8.263095,7.901381,8.187109,7.838113,7.90954,8.018118,7.758312,8.183434,8.074372,7.965686,10.24514
"10474725","Eif2ak4",7.788817,7.495503,7.7641,7.597545,7.703772,7.598598,7.573443,7.898524,8.063135,8.067818,8.054509,7.839006,7.830579
"10533858","Eif2b1",8.289399,8.790724,8.395958,8.779537,8.506386,8.876519,8.775105,8.834032,8.55061,8.386312,8.302058,8.694667,8.955172
"10397332","Eif2b2",9.334549,8.812843,9.199186,8.873577,9.306709,8.866386,8.778984,8.639412,8.073408,9.651596,8.421992,8.675804,9.433931
"10507418","Eif2b3",8.893997,9.463679,9.265319,9.600499,8.982961,9.540873,9.52878,9.443543,9.083358,9.228094,9.127496,9.385593,8.591783
"10529118","Eif2b4",7.903366,7.651866,7.643034,7.570778,7.771871,7.498812,7.53063,7.716259,7.570915,7.979827,7.40945,7.711801,8.073626
"10434348","Eif2b5",8.232793,8.362679,8.441866,8.585759,8.397098,8.228355,8.38376,8.66314,8.469583,8.390249,8.229342,8.55262,8.399305
"10349610","Eif2d",8.555535,8.472282,8.572045,8.444654,8.393816,8.344716,8.26051,8.488422,8.395262,8.623173,8.241896,8.461651,8.379818
"10396795","Eif2s1",9.329733,9.729574,9.678775,10.03201,9.664112,9.694592,9.920597,9.726731,9.728456,9.475439,9.623962,9.607945,9.245331
"10578683","Eif2s2",8.831705,9.113342,8.951118,9.111315,8.984748,8.805176,8.947419,8.761207,8.779514,9.090281,8.833133,8.745728,10.18881
"10605740","Eif2s3x",10.19733,10.30931,10.48471,10.46144,10.45472,10.47601,10.4951,10.63529,10.48603,10.46367,10.27365,10.47373,10.01289
