"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Atp6v1d",-0.726539885714285,10.3595593333333,-15.3627896425195,6.440109903348e-10,5.98313685846056e-06,12.5562653283322
"Cnpy2",-0.912645257142857,8.437148,-14.5383393234796,1.30031717667057e-09,5.98313685846056e-06,11.9831673520959
"Snord52",1.18326434285714,4.52093366666667,14.5229239307031,1.31795524542009e-09,5.98313685846056e-06,11.9720433904792
"n-R5s136",1.592651,9.73511558333333,14.5006395614485,1.34390665890906e-09,5.98313685846056e-06,11.9559353320176
"Snora33",1.33286142857143,6.8723005,14.4516405725022,1.40291147497199e-09,5.98313685846056e-06,11.9204027797706
"Rps17",-0.875454857142856,11.66389,-12.2019901857639,1.17459530296028e-08,4.17451170672083e-05,10.1043438921487
"Snora74a",1.62212157142857,7.85413541666667,11.8777695819818,1.63958316149428e-08,4.86457014423667e-05,9.80965626904568
"Cetn2",-1.44110634285714,7.67538016666667,-11.7402132150525,1.89317691368607e-08,4.86457014423667e-05,9.68184930531383
"Atp5mk",-0.77457914285714,12.5461958333333,-11.660427936987,2.05919923968602e-08,4.86457014423667e-05,9.60694359015857
"Cmc1",-0.887315685714285,8.67975141666667,-11.5638341758894,2.28126530868349e-08,4.86457014423667e-05,9.51548624781946
"Snora62",0.841908657142858,6.34353241666667,11.3820356739494,2.77158750237909e-08,5.08539103782513e-05,9.3410317638915
"Atraid",-0.733143714285715,11.0461091666667,-11.3132211887641,2.98555278209042e-08,5.08539103782513e-05,9.27419464780744
"Clybl",-0.774566771428571,10.4908024166667,-11.2784630569863,3.10026653028169e-08,5.08539103782513e-05,9.2402658805771
"Snora3",0.983943571428572,9.27759791666667,11.1648897286736,3.50907831888785e-08,5.3448275765689e-05,9.1286029958082
"Rmrp",0.836442857142856,10.767425,11.0633773878516,3.92333118741414e-08,5.52130382869265e-05,9.02775175498242
"Hsd17b10",-0.77567342857143,10.9335241666667,-10.9946600114718,4.23318214451093e-08,5.52130382869265e-05,8.95891496035412
"Snora73a",0.842862857142856,7.533098,10.9595020897708,4.40171473868763e-08,5.52130382869265e-05,8.92351750781615
"Snord33",1.66791202857143,6.69285191666667,10.8133256983624,5.18313306268673e-08,6.14028496826288e-05,8.77503733982802
"Snora23",0.720793114285714,9.18769075,10.0007638578284,1.32961755066745e-07,0.000142422930123387,7.90969111223467
"Sub1",-0.60147657142857,10.7589733333333,-9.99688596731221,1.33579938213644e-07,0.000142422930123387,7.90539261638497
"Cbr4",-0.685480485714285,9.03033241666667,-9.89145064672684,1.51616896090669e-07,0.000153956128201782,7.78788516422011
"Fis1",-0.468428857142854,11.0528341666667,-9.8363317852229,1.62063352776381e-07,0.000157083587936525,7.72596357292386
"Vgll3",0.983007285714288,7.21802508333333,9.79945433223499,1.69478829669923e-07,0.000157128981038323,7.6843447806563
"Ndufaf1",-1.42865408571429,9.76899175,-9.63473618783019,2.07299721571778e-07,0.000184185802616525,7.49657112566533
"Ube2v1",-0.514320571428568,10.7770983333333,-9.5399795098931,2.33047793072056e-07,0.000195480661602252,7.38714525458421
"Stx8",-0.631911542857145,8.17913266666667,-9.52186593824655,2.38346332848365e-07,0.000195480661602252,7.3661093693319
"Snord16a",1.00364848571429,6.49694558333333,9.42254259976379,2.69772185652885e-07,0.000201921403658376,7.25008228886665
"Actr3b",-1.10988582857143,7.614779,-9.41784015340641,2.71365360106327e-07,0.000201921403658376,7.24456037242898
"Fzd7",0.786654971428568,9.36874333333333,9.40836195915803,2.74607048681903e-07,0.000201921403658376,7.23342256277928
"Mrpl58",-0.575113999999999,8.63759416666667,-9.2976969351746,3.1565910842587e-07,0.000213414712356051,7.10259498937737
"Snora73b",0.899422028571427,8.04060375,9.27841803333289,3.23455421124291e-07,0.000213414712356051,7.07965483689667
"Snord47",2.13661177142857,6.73274433333333,9.26925455580841,3.2723267891021e-07,0.000213414712356051,7.06873557057309
"Dbi",-0.672573428571427,11.4827025,-9.26196647790883,3.30270376465469e-07,0.000213414712356051,7.06004387840134
"Rad21",0.535092742857145,9.32923816666667,9.18223251230188,3.65533772544245e-07,0.000229254181345102,6.96453774613485
"Lancl1",-0.912658514285711,9.61946133333333,-9.14419800367985,3.8374647040672e-07,0.000233800278141512,6.91870972518175
"Sarnp",-0.682237228571427,9.73870291666667,-9.11598015801382,3.97881033212827e-07,0.000235602908233019,6.88459660113335
