"probe_id","mgi_symbol","GSM5429757","GSM5429758","GSM5429759","GSM5429760","GSM5429761","GSM5429762","GSM5429763","GSM5429764","GSM5429765","GSM5429766","GSM5429767","GSM5429768"
"10338524",NA,8.729343,8.823448,8.735835,8.620837,8.810398,9.09031,9.083683,8.858215,8.889567,8.989318,8.856791,8.682998
"10338525",NA,6.854414,6.302147,7.338365,7.184537,6.959681,7.246326,6.884037,7.314652,6.7252,7.063535,7.335738,6.625132
"10338526",NA,3.704218,3.186444,4.070458,3.950601,3.700485,3.847905,3.297291,4.209302,3.649662,3.849247,3.828227,3.777624
"10338527",NA,5.081025,5.026855,4.966786,5.172905,4.907576,5.104665,4.684755,4.773314,4.243918,4.966786,3.654575,5.156548
"10338528",NA,8.036313,8.372523,7.565738,7.669884,7.850224,7.809141,7.952054,7.317999,7.799111,7.248213,8.033304,7.698724
"10338529",NA,12.59704,12.34455,12.14997,12.46029,12.39231,12.26555,12.14761,12.38602,12.80627,12.58213,12.58866,12.48615
"10338530",NA,11.41959,11.41141,11.18798,11.20598,11.45356,11.57792,11.55102,11.92972,12.08825,11.99871,11.62672,11.67893
"10338531",NA,7.891401,8.101311,7.945042,8.143717,7.991536,7.561296,7.869136,8.218502,8.264611,8.316992,8.021317,7.965872
"10338532",NA,5.630373,6.006729,6.2947,7.000164,6.759423,6.720335,6.452511,5.930625,6.8799,6.795407,6.827524,6.231135
"10338533",NA,5.091677,7.088212,7.46927,7.419625,7.093159,7.109327,6.780026,7.149672,7.501102,7.18521,8.007458,7.63656
"10338534",NA,4.906525,5.332197,6.005638,5.408272,5.061102,5.611529,4.699315,5.238691,5.062391,4.916742,5.259862,5.334608
"10338535",NA,6.981016,7.342348,7.495344,7.411744,7.546299,7.354551,7.604309,7.628811,8.228658,8.222382,7.496099,7.966714
"10338536",NA,6.305113,6.337607,5.823875,4.758112,6.726406,6.03708,6.883637,5.74878,6.221489,6.664211,5.669903,5.806347
"10338537",NA,3.706752,4.608662,4.840552,3.833184,3.687436,4.433416,4.285934,5.262393,5.123299,4.854892,4.974705,5.175792
"10338538",NA,3.42318,3.92521,3.177113,4.234713,3.329007,3.514625,4.104594,3.60611,3.425374,3.381716,3.76211,3.313713
"10338539",NA,3.753057,3.756009,4.763934,3.844361,4.565731,3.552645,4.175188,4.062975,3.65119,3.85981,3.711274,3.839106
