"","GSM5429739","GSM5429740","GSM5429741","GSM5429742","GSM5429743","GSM5429744","GSM5429745","GSM5429746","GSM5429747","GSM5429748","GSM5429749","GSM5429750","GSM5429751"
"10404874",9.885419,9.66585,9.336546,9.345844,9.125974,8.939678,9.069393,9.661186,10.27521,9.69297,10.05637,9.341537,9.276922
"10404885",7.363641,7.76737,7.078622,7.766192,7.355963,7.707631,7.682684,7.580014,6.903092,7.385176,7.03802,7.357501,6.689643
"10404895",6.073929,5.998303,6.09794,5.752399,5.870735,6.465932,6.205904,6.165268,5.657579,5.741482,5.971863,5.989677,5.701481
"10404898",5.361086,5.515578,5.472936,5.526465,5.458754,5.804166,5.519341,5.486892,5.54188,5.47695,5.677885,5.493484,5.403201
"10404904",9.403885,8.27037,7.60388,7.113422,7.963963,7.504822,7.224288,7.723344,7.340191,8.430162,7.459586,7.256355,7.294142
"10404913",9.062501,8.274084,7.472167,7.387748,8.146128,7.077769,7.279522,8.095428,7.736537,8.19807,7.600119,7.600654,7.529694
"10404928",9.511156,9.491913,9.25096,9.467396,9.30539,9.483614,9.558825,9.566535,9.435144,9.305703,9.170978,9.455976,9.175332
"10404937",4.901596,5.068789,5.05839,4.861099,4.947564,5.335755,5.582963,4.902644,5.389954,5.001162,5.118859,4.951713,4.890446
"10404939",5.950693,5.954592,5.988293,6.15752,6.0697,6.128737,6.138052,6.054224,6.00856,6.31737,6.301698,6.115606,6.102
"10404941",8.391036,7.911835,7.739859,7.913596,7.809265,7.715796,7.74041,7.923273,7.512983,7.836854,7.679894,7.839128,8.926367
"10404965",10.60338,9.395008,9.394938,8.940527,9.548509,9.138049,8.663047,10.27646,9.94731,9.735344,9.176688,9.72405,7.544736
"10404975",7.533455,7.583068,7.240354,7.455056,7.165422,7.318522,7.33888,7.279159,7.399804,7.15862,7.681826,7.526902,7.276987
"10404979",4.604908,4.629033,4.740985,4.678142,4.535892,4.878036,4.795402,4.655219,4.8038,4.716751,4.72387,4.620593,4.881402
"10404982",6.545304,6.633511,6.674915,6.550135,6.511362,6.885406,6.721398,6.311162,6.652481,6.484941,6.622416,6.583255,7.14568
"10404988",7.339746,7.201631,7.353875,7.137658,7.094638,7.465843,7.297313,7.105742,7.249443,7.28848,7.099194,7.253101,7.235943
"10404996",9.182333,9.649075,9.385467,9.908175,9.291433,9.739461,9.752961,9.421101,9.711894,9.507978,9.846311,9.598492,9.35745
"10405001",8.328423,8.666844,8.151424,8.883021,8.170397,8.726583,8.815652,8.045605,7.863187,7.660337,8.072176,8.479351,8.098078
"10405013",8.127061,7.141164,7.024912,6.731666,7.391708,6.659127,6.911544,7.029243,6.763624,7.575904,6.854223,7.072069,7.319915
"10405029",4.193748,4.236284,4.092037,4.023725,4.134195,4.244971,4.15233,4.191159,4.553902,4.061676,4.225228,4.092937,4.235878
"10405033",8.098508,8.499763,8.092046,9.094224,7.310057,8.438256,8.389333,8.587942,8.904322,7.854085,8.922786,9.060005,7.698265
"10405047",8.520363,9.50792,8.096724,9.609331,8.532741,9.175013,9.442709,9.132934,9.339743,7.442788,8.972632,9.295124,8.195309
