"probe_id","mgi_symbol","GSM5429757","GSM5429758","GSM5429759","GSM5429760","GSM5429761","GSM5429762","GSM5429763","GSM5429764","GSM5429765","GSM5429766","GSM5429767","GSM5429768"
"10556145","Or5p73",4.168305,4.412254,5.173669,5.428511,4.607693,4.80814,4.539982,4.204075,4.220712,4.307966,4.468653,4.236968
"10566692","Or5p76",4.301578,4.440822,5.193484,5.403819,4.687881,4.784725,4.304695,4.249903,4.489629,4.493253,4.423912,4.474419
"10556154","Or5p78",4.524956,4.924838,5.588792,5.807924,4.944744,5.397059,5.017399,4.81824,4.837534,4.772528,4.950564,4.9176
"10556156","Or5p79",4.077252,4.114826,4.886592,5.214636,4.02718,4.749187,4.218987,4.184459,4.270918,4.168663,4.159106,4.130909
"10556158","Or5p80",4.33136,4.246227,4.469222,5.123046,4.878351,5.040603,4.562044,4.266896,4.584442,4.293189,4.708333,4.329188
"10556160","Or5p81",3.997008,4.414516,5.045155,5.029618,4.588731,4.73614,4.390017,4.06985,4.216814,4.250712,4.241665,4.310892
"10484634","Or5t15",3.605445,3.822823,3.822482,3.672416,3.444222,3.995369,4.029702,3.922531,3.8467,3.771514,3.835286,3.574955
"10484644","Or5t16",4.336266,4.57657,4.448109,4.166862,4.52572,4.243022,4.217283,4.199471,4.197195,4.490393,4.2424,4.156878
"10473511","Or5t17",3.599733,3.846799,3.984887,4.397117,3.730964,4.309243,3.68785,3.686654,3.793547,3.610209,3.700917,3.591219
"10484632","Or5t18",3.720522,3.737317,4.514935,4.493208,4.027716,4.198224,4.080029,3.907695,4.018193,3.764756,3.939164,3.781551
"10473507","Or5t5",4.095634,4.606313,4.373053,4.881505,4.583471,4.414927,4.562628,4.224277,4.299205,4.443354,4.242114,4.300141
"10484624","Or5t7",4.59342,4.609895,5.044249,5.168272,4.373136,4.707402,4.64881,4.43926,4.590858,4.565462,4.523194,4.63678
